AL,Y,OL,P,AC,OC,A,T,Pot,Ovr,N
Serie A,2015,Other,CDM,Tier_1,Tier_4,U21,10Mto1M,75to84,65to74,SA
Premier Liga,2017,Serie A,CDM,Tier_1,Tier_1,U25,40Mto10M,75to84,65to74,SA
Ligue 1,2018,Premier Liga,CDM,Tier_1,Tier_1,U25,40Mto10M,85above,75to84,SA
Primera Division,2015,Serie A,CM,Tier_3,Tier_3,U25,Below1M,65to74,below65,SA
Serie A,2015,Other,CF,Tier_1,Tier_4,U21,10Mto1M,75to84,below65,SA
Premier Liga,2019,Serie A,CF,Tier_2,Tier_1,U25,10Mto1M,75to84,65to74,SA
Primera Division,2016,Premier League,GK,Tier_2,Tier_1,U25,10Mto1M,85above,75to84,SA
Premier League,2016,Other,GK,Tier_1,Tier_4,U25,10Mto1M,85above,75to84,SA
Liga Nos,2016,Other,CF,Tier_2,Tier_4,U25,10Mto1M,75to84,65to74,SA
Ligue 1,2016,Other,CB,Tier_1,Tier_4,U21,10Mto1M,75to84,below65,SA
Premier Liga,2017,Ligue 1,CB,Tier_1,Tier_1,U21,40Mto10M,85above,65to74,SA
Serie A,2016,Other,CF,Tier_1,Tier_4,U21,10Mto1M,75to84,below65,SA
Serie A,2017,Serie A,CF,Tier_1,Tier_1,U25,40Mto10M,85above,65to74,SA
Primera Division,2016,Other,CB,Tier_1,Tier_4,U30,10Mto1M,65to74,65to74,SA
Liga Nos,2016,Other,CAM,Tier_3,Tier_4,U21,10Mto1M,75to84,below65,SA
Premier League,2016,Other,CAM,Tier_1,Tier_4,U25,40Mto10M,75to84,65to74,SA
Primera Division,2016,Other,RW,Tier_1,Tier_4,U21,10Mto1M,75to84,65to74,SA
Ligue 1,2016,Other,CM,Tier_1,Tier_4,U21,10Mto1M,75to84,below65,SA
Primera Division,2019,Ligue 1,CM,Tier_2,Tier_1,U25,40Mto10M,85above,75to84,SA
Primera Division,2016,Other,RW,Tier_1,Tier_4,U25,10Mto1M,65to74,below65,SA
Liga Nos,2016,Other,LW,Tier_1,Tier_4,U25,10Mto1M,75to84,65to74,SA
Primera Division,2016,Other,GK,Tier_1,Tier_4,U21,Below1M,65to74,below65,SA
Premier League,2017,Other,CB,Tier_1,Tier_4,U21,40Mto10M,75to84,65to74,SA
1 Bundesliga,2017,Other,CDM,Tier_2,Tier_4,U21,10Mto1M,75to84,65to74,SA
